,f1-score,precision,recall,accuracy,bal_accuracy
Caulobacter_head-tail_joining,0.5644768856447688,0.3972602739726027,0.9747899159663865,0.9879469396000269,0.981421566726066
Caulobacter_integration,0.7214912280701754,0.5677308024158757,0.9894736842105263,0.9878500872976012,0.9886487655000038
Caulobacter_nuclease,0.6824288017195056,0.5256622516556292,0.9724349157733537,0.9885334005937021,0.9805874468821179
Caulobacter_DNA_polymerase,0.6040609137055838,0.44402985074626866,0.9444444444444444,0.9899445661982725,0.9673807873378968
Caulobacter_terminase,0.647834274952919,0.4985507246376812,0.9247311827956989,0.9899909008189263,0.9576891573815225
Caulobacter_annealing,0.38461538461538464,0.23809523809523808,1.0,0.9915811628518811,0.9957794777103667
Caulobacter_helicase,0.6134969325153374,0.45045045045045046,0.9615384615384616,0.9920399267167856,0.9768900574782928
Caulobacter_primase,0.2346368715083799,0.1337579617834395,0.9545454545454546,0.9737145049884881,0.9641706078122263
Caulobacter_replication_initiation,1.0,1.0,1.0,1.0,1.0
Caulobacter_transcriptional_regulator,0.746031746031746,0.6038543897216274,0.9757785467128027,0.9923038380599258,0.9841380313911561
Caulobacter_transcriptional_activator,0.9655172413793104,0.9333333333333333,1.0,0.9986125563648977,0.9992925362575168
Caulobacter_transcriptional_repressor,0.8541300527240774,0.759375,0.9759036144578314,0.9949851972690472,0.9855901338146107
Caulobacter_packaging_assembly,0.5867727498756837,0.4247660187185025,0.9485530546623794,0.985207469248981,0.9670854554204706
Caulobacter_adsorption-related,0.5671641791044776,0.39790575916230364,0.987012987012987,0.9926102882624622,0.9898254333611716
Caulobacter_cell_wall_depolymerase,0.5305651672433679,0.3685897435897436,0.9465020576131687,0.9845652091471045,0.9657106475771577
Caulobacter_RNA-associated,0.4336175395858709,0.27769110764430577,0.9888888888888889,0.9883831318077346,0.9886348680541615
Caulobacter_nucleotide_metabolism,0.7385524372230429,0.5938242280285035,0.9765625,0.9918751434473262,0.9843098625690929
Caulobacter_ejection,0.4020618556701031,0.2565789473684211,0.9285714285714286,0.9868361325465275,0.9578432969539012
Caulobacter_phosphorylation,0.7244444444444444,0.5699300699300699,0.9939024390243902,0.9929780848292655,0.9934359294293142
Caulobacter_transferase,0.791828793774319,0.6628664495114006,0.9830917874396136,0.9921004060538944,0.98766600168202
Caulobacter_reductase,0.7,0.5544554455445545,0.9491525423728814,0.9959311689412562,0.9726594199340979
Caulobacter_anti-restriction,0.7201365187713311,0.5672043010752689,0.985981308411215,0.9870222362902588,0.9865107379212961
Caulobacter_sir2,1.0,1.0,1.0,1.0,1.0
Caulobacter_toxin,0.9565217391304348,0.9166666666666666,1.0,0.9995240361732508,0.9997607655502392
Caulobacter_super_infection,0.8723404255319149,0.7735849056603774,1.0,0.9974408189379399,0.9987091222030982
Caulobacter_lysis,0.678237650200267,0.5204918032786885,0.9731800766283525,0.9938009620083854,0.983560206120267
Caulobacter_lysis_inhibitor,0.7848101265822784,0.6595744680851063,0.96875,0.9954103671706264,0.9821963507625273
Caulobacter_holin,0.9,0.825,0.99,0.9983735028833358,0.9942179353493221
Caulobacter_spanin,0.8654970760233918,0.7708333333333334,0.9866666666666667,0.9975645912748835,0.9921592485857615
Caulobacter_pvp,,,,,
Caulobacter_DNA-associated,,,,,
