,f1-score,precision,recall,accuracy,bal_accuracy
Cellulophaga_annealing,0.0,0.0,0.0,0.9927623642943305,0.9927623642943305
Cellulophaga_helicase,0.0,0.0,0.0,0.9962881495738246,0.4984181568088033
Cellulophaga_primase,0.0,0.0,0.0,0.9846977811782709,0.4942396313364055
Cellulophaga_replication_initiation,0.0,0.0,0.0,0.9927404718693285,0.4990875912408759
Cellulophaga_transcriptional_regulator,0.0223463687150838,0.012738853503184714,0.09090909090909091,0.972679728358442,0.5333138702763517
Cellulophaga_transcriptional_activator,0.6666666666666666,1.0,0.5,0.9967793880837359,0.75
Cellulophaga_transcriptional_repressor,0.0392156862745098,0.022222222222222223,0.16666666666666666,0.9888102306462663,0.5783024620779023
Cellulophaga_packaging_assembly,0.10526315789473684,0.06222222222222222,0.34146341463414637,0.9830821723059425,0.6632104982203312
Cellulophaga_adsorption-related,0.32075471698113206,0.2073170731707317,0.7083333333333334,0.991953509164059,0.8505248020319738
Cellulophaga_cell_wall_depolymerase,0.0,0.0,0.0,0.9902831295024292,0.49638898219684247
Cellulophaga_RNA-associated,0.010126582278481013,0.0055248618784530384,0.06060606060606061,0.9498974884674526,0.5071399882235038
Cellulophaga_nucleotide_metabolism,0.22727272727272727,0.13157894736842105,0.8333333333333334,0.9949771014920963,0.9142269209916704
Cellulophaga_ejection,0.0,0.0,0.0,1.0,1.0
Cellulophaga_phosphorylation,0.034482758620689655,0.0196078431372549,0.14285714285714285,0.9865384615384616,0.5654088266657493
Cellulophaga_transferase,0.0387409200968523,0.02056555269922879,0.3333333333333333,0.935905715208266,0.6357914640734738
Cellulophaga_reductase,0.0,0.0,0.0,0.887281795511222,0.4449724862431216
Cellulophaga_anti-restriction,0.0,0.0,0.0,0.9949577339463147,0.4985138950809927
Cellulophaga_sir2,,,,,
Cellulophaga_toxin,,,,,
Cellulophaga_super_infection,,,,,
Cellulophaga_lysis,0.10526315789473684,0.06578947368421052,0.2631578947368421,0.9914880833166433,0.6280171935809223
Cellulophaga_lysis_inhibitor,,,,,
Cellulophaga_holin,0.0,0.0,0.0,0.9948409286328461,0.4989936745255894
Cellulophaga_spanin,0.47619047619047616,0.3125,1.0,0.9953586497890295,0.9976744186046511
Cellulophaga_pvp,,,,,
Cellulophaga_DNA-associated,,,,,
Citrobacter_capsid,0.0,0.0,0.0,0.9911726242371404,0.49939600263562484
Citrobacter_tail,0.029411764705882353,0.01818181818181818,0.07692307692307693,0.9736664921074287,0.527632570973508
Citrobacter_baseplate,0.0,0.0,0.0,0.9745876603543067,0.4907111220472441
Citrobacter_tail_appendage,0.06451612903225806,0.04950495049504951,0.09259259259259259,0.9860227491806439,0.5416451335055986
Citrobacter_tail_sheath,0.0,0.0,0.0,0.9980582524271845,0.5
Citrobacter_portal,0.0,0.0,0.0,0.9923436835389197,0.4993578767123288
Citrobacter_head-tail_joining,0.0,0.0,0.0,0.9947058823529412,0.4998522021874076
Citrobacter_integration,0.014084507042253521,0.011111111111111112,0.019230769230769232,0.985862869837423,0.5050980767278604
Citrobacter_nuclease,0.015384615384615385,0.013513513513513514,0.017857142857142856,0.9898145937773534,0.5060111387693116
Citrobacter_DNA_polymerase,0.0,0.0,0.0,0.9958577839143942,0.5
Citrobacter_terminase,0.0,0.0,0.0,0.9963488843813387,0.4997964997964998
Citrobacter_annealing,0.0,0.0,0.0,0.9892280071813285,0.5
Citrobacter_helicase,0.0,0.0,0.0,0.9925407925407925,0.499374511336982
Citrobacter_primase,0.0,0.0,0.0,0.9987760097919217,0.5
Citrobacter_replication_initiation,0.0,0.0,0.0,1.0,1.0
Citrobacter_transcriptional_regulator,0.0,0.0,0.0,0.9832097502769965,0.49553264604811
Citrobacter_transcriptional_activator,0.0,0.0,0.0,0.9905437352245863,0.4988095238095238
Citrobacter_transcriptional_repressor,0.0,0.0,0.0,0.9936690647482015,0.4998552403011002
Citrobacter_packaging_assembly,0.05714285714285714,0.13043478260869565,0.036585365853658534,0.9927731951237316,0.5175583067793665
Citrobacter_adsorption-related,0.016666666666666666,0.01098901098901099,0.034482758620689655,0.9836406488285041,0.5109774594885186
Citrobacter_cell_wall_depolymerase,0.0,0.0,0.0,0.9864467668190725,0.4963845521774856
Citrobacter_RNA-associated,0.0,0.0,0.0,0.9891304347826086,0.499377687259561
Citrobacter_nucleotide_metabolism,0.0,0.0,0.0,0.9746983261969638,0.49242871189773846
Citrobacter_ejection,0.0,0.0,0.0,0.9952267303102625,0.4992816091954023
Citrobacter_phosphorylation,0.0,0.0,0.0,0.9876895628902765,0.4989185291997116
Citrobacter_transferase,0.0,0.0,0.0,0.9903638717100532,0.4979751229389644
Citrobacter_reductase,0.0,0.0,0.0,0.9912663755458515,0.49972482113373695
Citrobacter_anti-restriction,0.041025641025641026,0.025806451612903226,0.1,0.9750899160783268,0.5398888442480246
Citrobacter_sir2,0.0,0.0,0.0,1.0,1.0
Citrobacter_toxin,0.0,0.0,0.0,0.9970760233918129,0.5
Citrobacter_super_infection,0.0,0.0,0.0,0.9917948717948718,0.5
Citrobacter_lysis,0.030303030303030304,0.023529411764705882,0.0425531914893617,0.9860231491592051,0.5167216621479297
Citrobacter_lysis_inhibitor,0.0,0.0,0.0,0.9887323943661972,0.4992887624466572
Citrobacter_holin,0.0,0.0,0.0,0.9972889233152595,0.5
Citrobacter_spanin,0.0,0.0,0.0,0.9969217238346526,0.4997795414462081
Citrobacter_pvp,,,,,
Citrobacter_DNA-associated,,,,,
Clostridioides_capsid,0.0,0.0,0.0,0.9971751412429378,0.49929278642149927
Clostridioides_tail,0.20689655172413793,0.12272727272727273,0.6585365853658537,0.9912669282369321,0.825190023728485
Clostridioides_baseplate,0.8,1.0,0.6666666666666666,0.9990503323836657,0.8333333333333333
Clostridioides_tail_appendage,0.3076923076923077,0.23529411764705882,0.4444444444444444,0.9948379696013765,0.7203533320554597
Clostridioides_tail_sheath,0.0,0.0,0.0,1.0,1.0
Clostridioides_portal,0.4,0.2857142857142857,0.6666666666666666,0.9955190440627334,0.8314620758483033
Clostridioides_head-tail_joining,0.3333333333333333,0.25,0.5,0.9988916597395401,0.7495841419462157
Clostridioides_integration,0.24691358024691357,0.1724137931034483,0.43478260869565216,0.9912507171543317,0.7139375699975599
Clostridioides_nuclease,0.14285714285714285,0.10714285714285714,0.21428571428571427,0.9964867766175466,0.605921318982005
Clostridioides_DNA_polymerase,0.0,0.0,0.0,0.9982935153583617,0.9982935153583617
Clostridioides_terminase,0.05,0.02702702702702703,0.3333333333333333,0.9919062832800852,0.6628303495311167
Clostridioides_annealing,0.0,0.0,0.0,1.0,1.0
Clostridioides_helicase,0.0,0.0,0.0,0.9981718464351006,0.499390243902439
Clostridioides_primase,0.0,0.0,0.0,1.0,1.0
Clostridioides_replication_initiation,0.0,0.0,0.0,0.9972972972972973,0.5
Clostridioides_transcriptional_regulator,0.1862348178137652,0.1111111111111111,0.575,0.9813750926612306,0.7789434523809524
Clostridioides_transcriptional_activator,0.4,0.5,0.3333333333333333,0.9895470383275261,0.664906103286385
Clostridioides_transcriptional_repressor,0.14689265536723164,0.08666666666666667,0.48148148148148145,0.9694146242657484,0.7267896205778079
Clostridioides_packaging_assembly,0.1774193548387097,0.10576923076923077,0.55,0.989423475736209,0.7701683291770574
Clostridioides_adsorption-related,0.5,0.3548387096774194,0.8461538461538461,0.992595085829687,0.9196962604670516
Clostridioides_cell_wall_depolymerase,0.5714285714285714,0.6,0.5454545454545454,0.9983537589171392,0.7723607038123167
Clostridioides_RNA-associated,0.13559322033898305,0.07547169811320754,0.6666666666666666,0.987548828125,0.8273431132844336
Clostridioides_nucleotide_metabolism,0.26666666666666666,0.16666666666666666,0.6666666666666666,0.987051206592113,0.8274266587911006
Clostridioides_ejection,,,,,
Clostridioides_phosphorylation,0.0,0.0,0.0,1.0,1.0
Clostridioides_transferase,0.64,0.5161290322580645,0.8421052631578947,0.9945138677232551,0.9187534286359675
Clostridioides_reductase,0.2,0.1111111111111111,1.0,0.9897304236200257,0.9948586118251928
Clostridioides_anti-restriction,0.18181818181818182,0.13333333333333333,0.2857142857142857,0.9959821428571428,0.6414039794321484
Clostridioides_sir2,,,,,
Clostridioides_toxin,0.0,0.0,0.0,0.9899665551839465,0.5
Clostridioides_super_infection,0.0,0.0,0.0,0.9657320872274143,0.9657320872274143
Clostridioides_lysis,0.0,0.0,0.0,0.9968901846452867,0.49951305025321385
Clostridioides_lysis_inhibitor,,,,,
Clostridioides_holin,0.0,0.0,0.0,0.9995276334435522,0.5
Clostridioides_spanin,,,,,
Clostridioides_pvp,,,,,
Clostridioides_DNA-associated,,,,,
Clostridium_capsid,0.10084033613445378,0.08823529411764706,0.11764705882352941,0.9748353715898401,0.5514443339821051
Clostridium_tail,0.40358744394618834,0.2890792291220557,0.6683168316831684,0.9830118789117384,0.8270293628031474
Clostridium_baseplate,0.3488372093023256,0.5769230769230769,0.25,0.9109697933227345,0.6153339191564148
Clostridium_tail_appendage,0.6666666666666666,0.6785714285714286,0.6551724137931034,0.9858103061986557,0.8241510923927349
Clostridium_tail_sheath,0.0,0.0,0.0,0.9908675799086758,0.5
Clostridium_portal,0.09375,0.0625,0.1875,0.9727058823529412,0.5830814366998578
Clostridium_head-tail_joining,0.27692307692307694,0.20224719101123595,0.43902439024390244,0.9768928220255654,0.7106966997159417
Clostridium_integration,0.34328358208955223,0.25274725274725274,0.5348837209302325,0.985829307568438,0.7619286449632514
Clostridium_nuclease,0.13270142180094788,0.09032258064516129,0.25,0.9829957257015425,0.6184149075284887
Clostridium_DNA_polymerase,0.36363636363636365,0.6666666666666666,0.25,0.9896219421793921,0.6242498124531133
Clostridium_terminase,0.5233644859813084,0.45901639344262296,0.6086956521739131,0.9870360955770209,0.8001039989264627
Clostridium_annealing,0.0,0.0,0.0,0.978494623655914,0.5
Clostridium_helicase,0.09090909090909091,0.08333333333333333,0.1,0.9874134675896791,0.5465167827739076
Clostridium_primase,0.0,0.0,0.0,0.9987760097919217,0.5
Clostridium_replication_initiation,0.125,0.1111111111111111,0.14285714285714285,0.9633507853403142,0.5607619047619048
Clostridium_transcriptional_regulator,0.32116788321167883,0.2573099415204678,0.42718446601941745,0.9778571428571429,0.7059388643222313
Clostridium_transcriptional_activator,0.625,0.5882352941176471,0.6666666666666666,0.9794168096054888,0.8271713615023474
Clostridium_transcriptional_repressor,0.2097902097902098,0.16853932584269662,0.2777777777777778,0.9751210920299428,0.6306446821152704
Clostridium_packaging_assembly,0.47393364928909953,0.42735042735042733,0.5319148936170213,0.9899972965666396,0.7629128226151088
Clostridium_adsorption-related,0.47368421052631576,0.6,0.391304347826087,0.9865092748735245,0.6935966754546673
Clostridium_cell_wall_depolymerase,0.5801526717557252,0.5135135135135135,0.6666666666666666,0.989648033126294,0.8299086757990868
Clostridium_RNA-associated,0.0,0.0,0.0,0.9869109947643979,0.49818301949124544
Clostridium_nucleotide_metabolism,0.23076923076923078,0.17647058823529413,0.3333333333333333,0.9726775956284153,0.656984785615491
Clostridium_ejection,,,,,
Clostridium_phosphorylation,0.25,0.5,0.16666666666666666,0.9978260869565218,0.5831517792302107
Clostridium_transferase,0.07142857142857142,0.04310344827586207,0.20833333333333334,0.9576271186440678,0.5859340779675865
Clostridium_reductase,0.5217391304347826,0.35294117647058826,1.0,0.9894837476099426,0.9947115384615385
Clostridium_anti-restriction,0.12903225806451613,0.08247422680412371,0.2962962962962963,0.971875,0.6364775475711746
Clostridium_sir2,,,,,
Clostridium_toxin,0.3333333333333333,0.5,0.25,0.9938271604938271,0.6242236024844721
Clostridium_super_infection,,,,,
Clostridium_lysis,0.2594594594594595,0.18604651162790697,0.42857142857142855,0.9767165193745752,0.7052774781841357
Clostridium_lysis_inhibitor,,,,,
Clostridium_holin,0.55,0.7857142857142857,0.4230769230769231,0.9933283914010378,0.7109770842929526
Clostridium_spanin,,,,,
Clostridium_pvp,,,,,
Clostridium_DNA-associated,,,,,
Corynebacterium_capsid,0.0,0.0,0.0,0.9871194379391101,0.4969053934571176
Corynebacterium_tail,0.09876543209876543,0.06504065040650407,0.20512820512820512,0.9876751646125275,0.5976941101866994
Corynebacterium_baseplate,0.0,0.0,0.0,1.0,1.0
Corynebacterium_tail_appendage,0.5853658536585366,0.5,0.7058823529411765,0.9953232462173315,0.8512828016778851
Corynebacterium_tail_sheath,,,,,
Corynebacterium_portal,0.0,0.0,0.0,0.9954988747186797,0.5
Corynebacterium_head-tail_joining,0.0,0.0,0.0,0.9835135135135135,0.4948327440848518
Corynebacterium_integration,0.0,0.0,0.0,0.9727745896169758,0.48795019413576113
Corynebacterium_nuclease,0.01818181818181818,0.013157894736842105,0.029411764705882353,0.9894726581538161,0.5110384006903494
Corynebacterium_DNA_polymerase,0.0,0.0,0.0,0.9995244888254874,0.5
Corynebacterium_terminase,0.010810810810810811,0.005494505494505495,0.3333333333333333,0.9622913661652586,0.6480068728522337
Corynebacterium_annealing,0.0,0.0,0.0,1.0,1.0
Corynebacterium_helicase,0.0,0.0,0.0,0.9953076120959332,0.5
Corynebacterium_primase,0.0,0.0,0.0,1.0,1.0
Corynebacterium_replication_initiation,0.0,0.0,0.0,0.9803439803439803,0.9803439803439803
Corynebacterium_transcriptional_regulator,0.10317460317460317,0.05909090909090909,0.40625,0.9740319430081581,0.6911886604774535
Corynebacterium_transcriptional_activator,,,,,
Corynebacterium_transcriptional_repressor,0.4878048780487805,0.5555555555555556,0.43478260869565216,0.995640440107951,0.7165569280441131
Corynebacterium_packaging_assembly,0.14035087719298245,0.4,0.0851063829787234,0.995237632422976,0.542260279948647
